EPOCH,RMSE,PCC,MAPE,MAE
0,607.857225,0.069935,119.161316,359.358215
10,506.812311,0.441364,334.474335,305.839264
20,442.659611,0.659415,243.464630,258.166687
30,431.802092,0.730098,209.670639,241.052658
40,435.357917,0.737516,188.355957,237.994675
50,438.631145,0.723238,174.882141,237.820206
60,440.382753,0.709639,164.361633,237.808472
70,442.084975,0.693859,162.567810,239.652390
80,442.473993,0.684186,160.390152,240.716980
90,442.833084,0.676170,153.109482,240.691483
100,442.909715,0.669568,145.781754,240.411560
110,442.850215,0.664341,140.144836,240.214828
120,442.800833,0.660271,136.533707,240.194687
130,442.868173,0.656502,134.198349,240.370071
140,443.012045,0.653009,132.498703,240.635361
150,443.121774,0.650105,130.879105,240.855240
160,443.176125,0.648105,129.154541,240.951950
170,443.283082,0.646190,128.124329,241.152130
180,443.340762,0.645708,126.778107,241.139618
190,443.372322,0.645244,125.743637,241.154724
200,443.505972,0.644624,124.473213,241.153168
210,443.577273,0.644408,122.828201,241.028427
220,443.644988,0.644878,121.043892,240.796539
230,443.683058,0.644830,120.513680,240.704269
240,443.754190,0.645295,119.753006,240.547623
250,443.765880,0.645355,119.836792,240.543747
260,443.809151,0.645297,120.119827,240.628418
270,443.875176,0.644988,120.281654,240.729080
280,443.931530,0.644581,120.281593,240.810028
290,443.959088,0.644159,120.048828,240.844101
300,443.997114,0.643709,119.735283,240.895889
310,444.044128,0.643104,119.481567,240.974533
320,444.091770,0.642548,119.186531,241.042892
330,444.149521,0.642033,118.899406,241.114609
340,444.191629,0.641469,118.741821,241.197800
350,444.222952,0.640986,118.534103,241.265152
360,444.262152,0.640561,118.272179,241.324936
370,444.287825,0.640081,118.092506,241.382477
380,444.316294,0.639828,117.863968,241.416504
390,444.307854,0.639666,117.672760,241.430771
400,444.397591,0.639401,117.488792,241.510681
410,444.432837,0.639175,117.298134,241.565018
420,444.460909,0.639205,117.044388,241.578934
430,444.528824,0.638904,116.893761,241.651367
440,444.591421,0.638583,116.802841,241.721191
450,444.635683,0.638281,116.660332,241.773849
460,444.709298,0.637804,116.512756,241.852921
470,444.786993,0.637315,116.374664,241.929031
480,444.857597,0.636927,116.253220,241.997696
490,444.916811,0.636668,116.102974,242.052277
500,444.924660,0.636375,116.014755,242.085999
510,445.008427,0.635879,115.907272,242.169510
520,445.070816,0.635457,115.784950,242.221924
530,445.100498,0.635097,115.714989,242.256760
540,445.131108,0.634642,115.758034,242.309082
550,445.193006,0.634214,115.743988,242.371841
560,445.226540,0.633879,115.731491,242.403152
570,445.286583,0.633590,115.652901,242.440079
580,445.324881,0.633271,115.603127,242.474426
590,445.321741,0.633107,115.502495,242.474655
600,445.371667,0.632749,115.504608,242.526962
610,445.429866,0.632302,115.532204,242.581406
620,445.498860,0.631911,115.556885,242.634186
630,445.556446,0.631565,115.584091,242.674118
640,445.600052,0.631264,115.640450,242.707382
650,445.653488,0.630947,115.616859,242.745102
660,445.692281,0.630644,115.628639,242.774216
670,445.725515,0.630274,115.722763,242.808044
680,445.774134,0.630038,115.731728,242.829514
690,445.808412,0.629791,115.775383,242.849976
700,445.850013,0.629516,115.824890,242.878082
710,445.890594,0.629255,115.861389,242.903885
720,445.908027,0.629049,115.913925,242.913651
730,445.950985,0.628834,115.900627,242.933701
740,445.927124,0.628821,115.940300,242.920273
750,445.952842,0.628602,115.996063,242.948257
760,445.966331,0.628448,116.027313,242.957657
770,445.967575,0.628288,116.069633,242.964966
780,445.970028,0.628111,116.122490,242.974319
790,445.985706,0.627915,116.138680,242.989532
800,446.013418,0.627718,116.112831,243.005768
810,445.968679,0.627575,116.228325,242.995178
820,446.089117,0.627270,116.266388,243.066528
830,446.103600,0.627062,116.363083,243.079147
840,446.125525,0.626861,116.460754,243.092010
850,446.128345,0.626720,116.551216,243.097382
860,446.140095,0.626574,116.601242,243.101395
870,446.126524,0.626449,116.659454,243.094894
880,446.138536,0.626286,116.689125,243.097656
890,446.125000,0.626179,116.710777,243.082214
900,446.142914,0.626012,116.730415,243.086563
910,446.148413,0.625891,116.749664,243.081177
920,446.134264,0.625788,116.801483,243.071884
930,446.124387,0.625728,116.820236,243.055222
940,446.128975,0.625551,116.889740,243.062515
950,446.110850,0.625372,117.006821,243.065079
960,446.109099,0.625293,117.012505,243.055252
970,446.122496,0.625196,116.991783,243.053772
980,446.133073,0.625154,116.921478,243.041824
990,446.120850,0.625042,116.912956,243.032257
